axis,KS,W1,KDE_MSE
x,0.06085600000000002,0.09887679188812762,0.005219823142654045
y,0.034524,0.04114371119498606,0.00010122113940853276
z,0.022751999999999994,0.038665067858414955,0.00031433611887776757
x,0.017539,0.15837322264705717,2.466634106666781e-06
y,0.029035000000000033,0.3647917946533463,3.842609390129685e-06
z,0.03447100000000003,0.413930147119224,9.010151810283328e-06
x,0.04450200000000004,0.07122897543693225,0.000640158388275715
y,0.034744,0.0770960755705101,0.00017366801959973541
z,0.03449000000000002,0.051409827887579834,0.000583820911703846
x,0.04450200000000004,0.07122897543693225,0.000640158388275715
y,0.034744,0.0770960755705101,0.00017366801959973541
z,0.03449000000000002,0.051409827887579834,0.000583820911703846
x,0.07587833333333338,0.08621158109045203,0.0029129464630800335
y,0.03410500000000005,0.07716030684309395,0.00019197731997809084
z,0.06352333333333338,0.09396653874636114,0.0025669525918892073
x,0.06964700000000001,0.09306763468277103,0.003205778751595519
y,0.03437799999999991,0.07756897584470536,0.000235645511656385
z,0.06790299999999999,0.10040887347052499,0.0029507294344628
x,0.03438400000000008,0.5456019960584848,4.2217746457050135e-05
y,0.03553200000000001,0.4991112274148974,1.1430636407960346e-05
z,0.06786499999999995,0.8649570655144377,3.972391335880017e-05
x,0.032666,0.1026710502481537,0.0009274855907053558
y,0.08942799999999995,0.20532881444770384,0.0012205381209726206
z,0.038022,0.06020441501020245,0.0004180154764455952
x,0.047482000000000024,0.6166218489230568,2.0087610247850258e-05
y,0.06389299999999998,1.2419758059457573,8.581100710430319e-06
z,0.03892499999999999,0.5194393161014318,5.916905628570025e-06
x,0.047482000000000024,0.6166218489230568,2.0087610247850258e-05
y,0.06389299999999998,1.2419758059457573,8.581100710430319e-06
z,0.03892499999999999,0.5194393161014318,5.916905628570025e-06
x,0.04046700000000003,0.5209766397103678,1.3638618765061274e-05
y,0.05813800000000002,1.2223320762779784,6.566798662978655e-06
z,0.03203699999999998,0.5178977854442598,3.989133890924737e-06
x,0.030927000000000038,0.4547852791385008,8.79569526041673e-06
y,0.0554380000000001,1.2087511660965666,5.5507619187571894e-06
z,0.033621999999999985,0.5157290180153845,4.37399589180612e-06
x,0.030927000000000038,0.4547852791385008,8.79569526041673e-06
y,0.0554380000000001,1.2087511660965666,5.5507619187571894e-06
z,0.033621999999999985,0.5157290180153845,4.37399589180612e-06
x,0.03573133333333328,0.6686130030768702,4.618444308483607e-06
y,0.02250066666666667,0.2419239855019481,3.0934818254830914e-06
z,0.007974666666666658,0.0951977540551623,8.334393832757822e-07
